ZipCode,State,TaxRegionName,CombinedRate
99501,AK,ALASKA STATE,0
99502,AK,ALASKA STATE,0
99503,AK,ALASKA STATE,0
99504,AK,ALASKA STATE,0
99505,AK,ALASKA STATE,0
99506,AK,ALASKA STATE,0
99507,AK,ALASKA STATE,0
99508,AK,ALASKA STATE,0
99509,AK,ALASKA STATE,0
99510,AK,ALASKA STATE,0
99511,AK,ALASKA STATE,0
99513,AK,ALASKA STATE,0
99514,AK,ALASKA STATE,0
99515,AK,ALASKA STATE,0
99516,AK,ALASKA STATE,0
99517,AK,ALASKA STATE,0
99518,AK,ALASKA STATE,0
99519,AK,ALASKA STATE,0
99520,AK,ALASKA STATE,0
99521,AK,ALASKA STATE,0
99522,AK,ALASKA STATE,0
99523,AK,ALASKA STATE,0
99524,AK,ALASKA STATE,0
99529,AK,ALASKA STATE,0
99530,AK,ALASKA STATE,0
99540,AK,ALASKA STATE,0
99550,AK,ALASKA STATE,0
99554,AK,ALAKANUK,0.04
99556,AK,KENAI PENINSULA BURROUGH,0.03
99558,AK,ALASKA STATE,0
99559,AK,BETHEL,0.06
99567,AK,ALASKA STATE,0
99568,AK,KENAI PENINSULA BURROUGH,0.03
99572,AK,KENAI PENINSULA BURROUGH,0.03
99573,AK,ALASKA STATE,0
99574,AK,CORDOVA,0.06
99576,AK,DILLINGHAM,0.06
99577,AK,ALASKA STATE,0
99583,AK,FALSE PASS,0.03
99586,AK,ALASKA STATE,0
99587,AK,ALASKA STATE,0
99588,AK,ALASKA STATE,0
99590,AK,ALASKA STATE,0
99599,AK,ALASKA STATE,0
99602,AK,ALASKA STATE,0
99603,AK,HOMER,0.075
99605,AK,KENAI PENINSULA BURROUGH,0.03
99608,AK,ALASKA STATE,0
99609,AK,KASIGLUK,0.03
99610,AK,KENAI PENINSULA BURROUGH,0.03
99611,AK,KENAI,0.06
99612,AK,KING COVE,0.06
99615,AK,KODIAK,0.07
99621,AK,KWETHLUK,0.05
99622,AK,ALASKA STATE,0
99623,AK,ALASKA STATE,0
99624,AK,LARSEN BAY,0.03
99631,AK,KENAI PENINSULA BURROUGH,0.03
99633,AK,ALASKA STATE,0
99634,AK,NAPAKIAK,0.04
99635,AK,KENAI,0.06
99636,AK,ALASKA STATE,0
99639,AK,KENAI PENINSULA BURROUGH,0.03
99643,AK,OLD HARBOR,0.03
99644,AK,OUZINKIE,0.03
99645,AK,ALASKA STATE,0
99649,AK,ALASKA STATE,0
99652,AK,ALASKA STATE,0
99653,AK,ALASKA STATE,0
99654,AK,ALASKA STATE,0
99655,AK,QUINHAGAK,0.03
99659,AK,ALASKA STATE,0
99663,AK,SELDOVIA,0.075
99664,AK,KENAI PENINSULA BURROUGH,0.03
99665,AK,ALASKA STATE,0
99666,AK,EMMONAK,0.03
99669,AK,KENAI PENINSULA BURROUGH,0.03
99672,AK,KENAI PENINSULA BURROUGH,0.03
99674,AK,ALASKA STATE,0
99675,AK,ALASKA STATE,0
99676,AK,ALASKA STATE,0
99679,AK,BETHEL,0.06
99682,AK,KENAI PENINSULA BURROUGH,0.03
99683,AK,ALASKA STATE,0
99684,AK,UNALAKLEET,0.05
99685,AK,UNALASKA,0.03
99686,AK,ALASKA STATE,0
99688,AK,ALASKA STATE,0
99689,AK,YAKUTAT,0.05
99691,AK,ALASKA STATE,0
99692,AK,UNALASKA,0.03
99694,AK,HOUSTON,0.02
99701,AK,ALASKA STATE,0
99702,AK,ALASKA STATE,0
99703,AK,ALASKA STATE,0
99704,AK,ANDERSON,0.06
99705,AK,ALASKA STATE,0
99706,AK,ALASKA STATE,0
99707,AK,ALASKA STATE,0
99708,AK,ALASKA STATE,0
99709,AK,ALASKA STATE,0
99712,AK,ALASKA STATE,0
99714,AK,ALASKA STATE,0
99720,AK,ALASKA STATE,0
99721,AK,ALASKA STATE,0
99722,AK,ALASKA STATE,0
99724,AK,ALASKA STATE,0
99726,AK,ALASKA STATE,0
99729,AK,ALASKA STATE,0
99730,AK,ALASKA STATE,0
99731,AK,ALASKA STATE,0
99732,AK,ALASKA STATE,0
99733,AK,ALASKA STATE,0
99737,AK,ALASKA STATE,0
99740,AK,FORT YUKON,0.03
99741,AK,GALENA,0.03
99743,AK,ALASKA STATE,0
99744,AK,ANDERSON,0.06
99745,AK,ALASKA STATE,0
99746,AK,ALASKA STATE,0
99747,AK,ALASKA STATE,0
99748,AK,ALASKA STATE,0
99752,AK,KOTZEBUE,0.06
99754,AK,ALASKA STATE,0
99755,AK,ALASKA STATE,0
99756,AK,ALASKA STATE,0
99757,AK,ALASKA STATE,0
99758,AK,ALASKA STATE,0
99759,AK,ALASKA STATE,0
99760,AK,NENANA,0.04
99762,AK,NOME,0.05
99764,AK,ALASKA STATE,0
99765,AK,ALASKA STATE,0
99766,AK,POINT HOPE,0.03
99767,AK,ALASKA STATE,0
99768,AK,ALASKA STATE,0
99774,AK,ALASKA STATE,0
99775,AK,ALASKA STATE,0
99776,AK,ALASKA STATE,0
99777,AK,TANANA,0.02
99780,AK,ALASKA STATE,0
99781,AK,ALASKA STATE,0
99788,AK,ALASKA STATE,0
99789,AK,ALASKA STATE,0
99801,AK,JUNEAU BURROUGH,0.05
99824,AK,JUNEAU BURROUGH,0.05
99827,AK,HAINES BURROUGH,0.04
99829,AK,HOONAH,0.065
99830,AK,KAKE,0.05
99833,AK,PETERSBURG BOROUGH,0.06
99835,AK,SITKA BURROUGH,0.06
99836,AK,PORT ALEXANDER,0.04
99840,AK,SKAGWAY,0.05
99841,AK,TENAKEE SPRINGS,0.02
99901,AK,KETCHIKAN,0.065
99921,AK,CRAIG,0.05
99925,AK,KLAWOCK,0.055
99928,AK,KETCHIKAN GATEWAY BURROUGH,0.025
99929,AK,WRANGELL,0.07
35004,AL,MOODY,0.09
35005,AL,ADAMSVILLE,0.1
35006,AL,JEFFERSON COUNTY,0.06
